rawGeofenceID,fullRegionID,geofenceDistance,geofenceType,storeID,storeLocationtext
B4ED32D8C1504802934768E505B3E520,gimbal:place:B4ED32D8C1504802934768E505B3E520:2313,2313,driveToStore,2313,Northwest Corner Of P.R. 181 & P.R. 850
555738FADAF341EABB518CF685A60508,gimbal:place:555738FADAF341EABB518CF685A60508:2314-1,2314-1,storeEntry,2314,Belmont & Central
7B0B2C973156419EA0D4183D35A979F1,gimbal:place:7B0B2C973156419EA0D4183D35A979F1:2314,2314,driveToStore,2314,Belmont & Central
094B8C5FD73845738E15E39E22150413,gimbal:place:094B8C5FD73845738E15E39E22150413:2315,2315,driveToStore,2315,Northeast Corner Of Pr 139 & Pr 14
AE14C6C0F27C47D9902D6BE8CD632F75,gimbal:place:AE14C6C0F27C47D9902D6BE8CD632F75:2315-1,2315-1,storeEntry,2315,Northeast Corner Of Pr 139 & Pr 14
E0F9B297479747DE9CD80DB41B79B6CC,gimbal:place:E0F9B297479747DE9CD80DB41B79B6CC:2316-1,2316-1,storeEntry,2316,106Th & Ewing
C8BE8649FCD14B25A3541896B6295416,gimbal:place:C8BE8649FCD14B25A3541896B6295416:2316,2316,driveToStore,2316,106Th & Ewing
2F2752F48C95457DBE9B860FD18E46A8,gimbal:place:2F2752F48C95457DBE9B860FD18E46A8:2317-1,2317-1,storeEntry,2317,Southeast Corner Rodriques Emma & 187Th
F258CFDE1C284F14BA3EB4F337CF9D4D,gimbal:place:F258CFDE1C284F14BA3EB4F337CF9D4D:2317,2317,driveToStore,2317,Southeast Corner Rodriques Emma & 187Th
65A2AC0258B84BF4BE5502DEDB311361,gimbal:place:65A2AC0258B84BF4BE5502DEDB311361:2318,2318,driveToStore,2318,Laurel & Alameda
D6986818DEF340DA8207673A17744C94,gimbal:place:D6986818DEF340DA8207673A17744C94:2318-1,2318-1,storeEntry,2318,Laurel & Alameda
93F14E715D4443BF9E956467F98CCD8C,gimbal:place:93F14E715D4443BF9E956467F98CCD8C:2319-1,2319-1,storeEntry,2319,55Th & Lake Park
D12A68FF7E244D8F89408F64F32A79B2,gimbal:place:D12A68FF7E244D8F89408F64F32A79B2:2319,2319,driveToStore,2319,55Th & Lake Park
4F50DFD8D8DD48128645786D9F0FAA67,gimbal:place:4F50DFD8D8DD48128645786D9F0FAA67:2320-1,2320-1,storeEntry,2320,59Th & Pulaski
EBE7B858D0A94903817AA735D9E61AE6,gimbal:place:EBE7B858D0A94903817AA735D9E61AE6:2320,2320,driveToStore,2320,59Th & Pulaski
B7C6EE492D5B4679A5DA2652A41047AE,gimbal:place:B7C6EE492D5B4679A5DA2652A41047AE:2321,2321,driveToStore,2321,Northeast Corner Of Baramaya & Pr 2
A780416DE63D43C587B62969AB0795AF,gimbal:place:A780416DE63D43C587B62969AB0795AF:2321-1,2321-1,storeEntry,2321,Northeast Corner Of Baramaya & Pr 2
4C457A93235B4ED8B8C36087D207C89A,gimbal:place:4C457A93235B4ED8B8C36087D207C89A:2322-1,2322-1,storeEntry,2322,Las Cruz & San Francisco
06D7F2CDE2B448858CB744B94D1FAAE6,gimbal:place:06D7F2CDE2B448858CB744B94D1FAAE6:2322,2322,driveToStore,2322,Las Cruz & San Francisco
89F3292812904A57BE08B1C55D260D97,gimbal:place:89F3292812904A57BE08B1C55D260D97:2323-1,2323-1,storeEntry,2323,1008 Ave Americo Miranda
80615B22CFAB4710B1F302B3BB0D0AEE,gimbal:place:80615B22CFAB4710B1F302B3BB0D0AEE:2323,2323,driveToStore,2323,1008 Ave Americo Miranda
3212976B0D0942CD9EBA04645F273AB4,gimbal:place:3212976B0D0942CD9EBA04645F273AB4:2324,2324,driveToStore,2324,65 Infantry & Jesus Fargoso
0B842482DDBE436DAA1BA5A755DF9C41,gimbal:place:0B842482DDBE436DAA1BA5A755DF9C41:2324-1,2324-1,storeEntry,2324,65 Infantry & Jesus Fargoso
3ABFBE51BEBD46C4A065D84A61671F06,gimbal:place:3ABFBE51BEBD46C4A065D84A61671F06:2325,2325,driveToStore,2325,Carr. #2 Plaza Victoria
66609722F9134AE7BF60BA510C11A505,gimbal:place:66609722F9134AE7BF60BA510C11A505:2325-1,2325-1,storeEntry,2325,Carr. #2 Plaza Victoria
ACE9D0CFE1A048FAAE586F5D2AA61E62,gimbal:place:ACE9D0CFE1A048FAAE586F5D2AA61E62:2326-1,2326-1,storeEntry,2326,Diversey & Halsted
FECE3FDB5BF94E98B1805C063EB66FFE,gimbal:place:FECE3FDB5BF94E98B1805C063EB66FFE:2326,2326,driveToStore,2326,Diversey & Halsted
66046C31A23B4E1EAC6124CC30065E04,gimbal:place:66046C31A23B4E1EAC6124CC30065E04:2327,2327,driveToStore,2327,Southwest Corner Of Pr 696 & Pr 693
D2699236D78F4A159090A5F87944468F,gimbal:place:D2699236D78F4A159090A5F87944468F:2327-1,2327-1,storeEntry,2327,Southwest Corner Of Pr 696 & Pr 693
C1DC4C51C9EF450AAB54AAEE8F699CA3,gimbal:place:C1DC4C51C9EF450AAB54AAEE8F699CA3:2328,2328,driveToStore,2328,Road #123 Intersection Road #111
A16456756B784808814917CB0351E026,gimbal:place:A16456756B784808814917CB0351E026:2328-1,2328-1,storeEntry,2328,Road #123 Intersection Road #111
491BA4FA51684DBCB43AC20097DE8384,gimbal:place:491BA4FA51684DBCB43AC20097DE8384:2329-1,2329-1,storeEntry,2329,Lincoln & Western Or Lawrence & Western
